,date,author,twitter_name,text,number_of_likes,number_of_retweets,cleaned_tweet,user_handles,hashtags,links,punct,tokenized_text,tokenizer_noStopw,stemmed_text
0,1643812310000,Thomas (Tom) Yoritaka,tomyoritaka,God-given #science - plus consideration for fellow citizens - saves lives - literally. When you put political hatre… https://t.co/Vjqaz8LCJV,0,0,God-given  - plus consideration for fellow citizens - saves lives - literally. When you put political hatre…,[],['#science'],[' https://t.co/Vjqaz8LCJV'],Godgiven   plus consideration for fellow citizens  saves lives  literally When you put political hatre…,"[Godgiven,   , plus, consideration, for, fellow, citizens,  , saves, lives,  , literally, When, you, put, political, hatre, …]","['Godgiven', '  ', 'plus', 'consideration', 'fellow', 'citizens', ' ', 'saves', 'lives', ' ', 'literally', 'political', 'hatre', '…']",godgiven    plu consider fellow citizen   save live   liter polit hatr …
1,1643812260000,CartoonStock,CartoonStock,"""We're running low so some of you will have to share.""
-
Cartoon by Jeremy Banx
-
Find this cartoon:… https://t.co/3iVlWv71F5",0,0,"""We're running low so some of you will have to share.""
-
Cartoon by Jeremy Banx
-
Find this cartoon:…",[],[],[' https://t.co/3iVlWv71F5'],"Were running low so some of you will have to share

Cartoon by Jeremy Banx

Find this cartoon…","[Were, running, low, so, some, of, you, will, have, to, share, 

, Cartoon, by, Jeremy, Banx, 

, Find, this, cartoon, …]","['running', 'low', 'share', '\n\n', 'Cartoon', 'Jeremy', 'Banx', '\n\n', 'Find', 'cartoon', '…']","run low share 

 cartoon jeremi banx 

 find cartoon …"
2,1643812159000,Gary #NHSPay15 💙🌍🌈💖,GarySyms,"@benonwine Yep, me &amp; my Husband 3× jabbed still #WearAMask , hand sanitize, do LFT, (touch wood) no Covid, even aft… https://t.co/Ik8Tqzy8pH",0,0,"Yep, me &amp; my Husband 3× jabbed still  , hand sanitize, do LFT, (touch wood) no Covid, even aft…",['@benonwine'],['#WearAMask'],[' https://t.co/Ik8Tqzy8pH'],Yep me amp my Husband 3× jabbed still   hand sanitize do LFT touch wood no Covid even aft…,"[Yep, me, amp, my, Husband, 3×, jabbed, still,   , hand, sanitize, do, LFT, touch, wood, no, Covid, even, aft, …]","['Yep', 'amp', 'Husband', '3×', 'jabbed', '  ', 'hand', 'sanitize', 'LFT', 'touch', 'wood', 'Covid', 'aft', '…']",yep amp husband 3× jab    hand sanit lft touch wood covid aft …
3,1643812147000,Ed Kiernan,Eddie_K_1974,#BorisJohnson announced he will end the #Covid pandemic by no longer publishing figures for the number of people th… https://t.co/j13sTKZCO2,0,0,announced he will end the  pandemic by no longer publishing figures for the number of people th…,[],"['#BorisJohnson', '#Covid']",[' https://t.co/j13sTKZCO2'],announced he will end the  pandemic by no longer publishing figures for the number of people th…,"[announced, he, will, end, the,  , pandemic, by, no, longer, publishing, figures, for, the, number, of, people, th, …]","['announced', 'end', ' ', 'pandemic', 'longer', 'publishing', 'figures', 'number', 'people', 'th', '…']",announc end   pandem longer publish figur number peopl th …
4,1643812146000,Doffou Radio Bordeaux,DoffouRadio,#NowPlaying Lauryn Hill - Doo Wop (That Thing) #radioking #bokaomw #doffouradio #bordeaux #france #paris #covid… https://t.co/pRsqhj4lFu,0,0,Lauryn Hill - Doo Wop (That Thing)       …,[],"['#NowPlaying', '#radioking', '#bokaomw', '#doffouradio', '#bordeaux', '#france', '#paris', '#covid']",[' https://t.co/pRsqhj4lFu'],Lauryn Hill  Doo Wop That Thing       …,"[Lauryn, Hill,  , Doo, Wop, That, Thing,       , …]","['Lauryn', 'Hill', ' ', 'Doo', 'Wop', 'Thing', '      ', '…']",lauryn hill   doo wop thing        …
5,1643812075000,Phil Jones,Philj77,"Sharon Stone bless her. Telling the co-inventor of mRNA vaccines that he’s talking rubbish. 
Lots of intelligent pe… https://t.co/57SBGeKRGP",0,0,"Sharon Stone bless her. Telling the co-inventor of mRNA vaccines that he’s talking rubbish. 
Lots of intelligent pe…",[],[],[' https://t.co/57SBGeKRGP'],"Sharon Stone bless her Telling the coinventor of mRNA vaccines that he’s talking rubbish 
Lots of intelligent pe…","[Sharon, Stone, bless, her, Telling, the, coinventor, of, mRNA, vaccines, that, he, ’s, talking, rubbish, 
, Lots, of, intelligent, pe, …]","['Sharon', 'Stone', 'bless', 'Telling', 'coinventor', 'mRNA', 'vaccines', 'talking', 'rubbish', '\n', 'Lots', 'intelligent', 'pe', '…']","sharon stone bless tell coinventor mrna vaccin talk rubbish 
 lot intellig pe …"
6,1643812065000,Mamas Mamas,mmamas1973,I am in 2 minds about the ethics (and scientific value) of this- inoculating non-vaccinated individuals (albeit low… https://t.co/E8dIRRBVeT,2,0,I am in 2 minds about the ethics (and scientific value) of this- inoculating non-vaccinated individuals (albeit low…,[],[],[' https://t.co/E8dIRRBVeT'],I am in 2 minds about the ethics and scientific value of this inoculating nonvaccinated individuals albeit low…,"[I, am, in, 2, minds, about, the, ethics, and, scientific, value, of, this, inoculating, nonvaccinated, individuals, albeit, low, …]","['2', 'minds', 'ethics', 'scientific', 'value', 'inoculating', 'nonvaccinated', 'individuals', 'albeit', 'low', '…']",2 mind ethic scientif valu inocul nonvaccin individu albeit low …
7,1643812057000,Ms Food Blogger 🍸,MsFoodBlogger,"I keep trying to work from home and my boss messages to say 'Good grief! Have a rest!' 😁
#covid https://t.co/8hOqqEMNHk",0,0,I keep trying to work from home and my boss messages to say 'Good grief! Have a rest!' 😁,[],['#covid'],[' https://t.co/8hOqqEMNHk'],I keep trying to work from home and my boss messages to say Good grief Have a rest 😁,"[I, keep, trying, to, work, from, home, and, my, boss, messages, to, say, Good, grief, Have, a, rest, 😁]","['trying', 'work', 'home', 'boss', 'messages', 'Good', 'grief', 'rest', '😁']",tri work home boss messag good grief rest 😁
8,1643811968000,Ailie Hodgson,AilieHodgson,Thank you @paulaabramson3 🙏 for facilitating a really useful discussion about #wellbeing for #neonatal  parents &amp; s… https://t.co/y2QVpZ4wLx,0,0,Thank you  🙏 for facilitating a really useful discussion about  for   parents &amp; s…,['@paulaabramson3'],"['#wellbeing', '#neonatal']",[' https://t.co/y2QVpZ4wLx'],Thank you  🙏 for facilitating a really useful discussion about  for   parents amp s…,"[Thank, you,  , 🙏, for, facilitating, a, really, useful, discussion, about,  , for,   , parents, amp, s, …]","['Thank', ' ', '🙏', 'facilitating', 'useful', 'discussion', ' ', '  ', 'parents', 'amp', 's', '…']",thank   🙏 facilit use discuss      parent amp s …
9,1643811857000,InnovationThinker,InnovationGuyOG,"#COVID19 #covid 

I’m delighted to say; I just tested positive .. 

Hey Covid, 

You best be prepared for me.. 

I… https://t.co/OPMPsbEWzS",0,0,"I’m delighted to say; I just tested positive .. 

Hey Covid, 

You best be prepared for me.. 

I…",[],"['#COVID19', '#covid']",[' https://t.co/OPMPsbEWzS'],"I’m delighted to say I just tested positive  

Hey Covid 

You best be prepared for me 

I…","[I, ’m, delighted, to, say, I, just, tested, positive,  

, Hey, Covid, 

, You, best, be, prepared, for, me, 

, I, …]","['delighted', 'tested', 'positive', ' \n\n', 'Hey', 'Covid', '\n\n', 'best', 'prepared', '\n\n', '…']","delight test posit  

 hey covid 

 best prepar 

 …"
