,Unnamed: 0,date,author,twitter_name,text,number_of_likes,number_of_retweets,cleaned_tweet,user_handles,hashtags,links,punct,tokenized_text,tokenizer_noStopw,stemmed_text,sentiment,score,polarity,subjectivity
0,0,1643812291000,Grant Rivers 🏳️‍🌈,SnowAndBeach,"In addition…

Children over the age of 12 are not able to enter the country without proof of full coronavirus vacci… https://t.co/AZnsErX4lR",0,0,"In addition…

Children over the age of 12 are not able to enter the country without proof of full coronavirus vacci…",[],[],[' https://t.co/AZnsErX4lR'],"In addition…

Children over the age of 12 are not able to enter the country without proof of full coronavirus vacci…","[In, addition, …, 

, Children, over, the, age, of, 12, are, not, able, to, enter, the, country, without, proof, of, full, coronavirus, vacci, …]","['addition', '…', '\n\n', 'Children', 'age', '12', 'able', 'enter', 'country', 'proof', 'coronavirus', 'vacci', '…']","addit … 

 children age 12 abl enter countri proof coronaviru vacci …",neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04999999999999999,0.5875
1,1,1643812282000,NFTurk (L-Constant Panic),MichaelTurk,#covid should be like the perfect attendance award in high school. The last person in the #US with a confirmed case… https://t.co/hKiM3oTffw,0,0,should be like the perfect attendance award in high school. The last person in the  with a confirmed case…,[],"['#covid', '#US']",[' https://t.co/hKiM3oTffw'],should be like the perfect attendance award in high school The last person in the  with a confirmed case…,"[should, be, like, the, perfect, attendance, award, in, high, school, The, last, person, in, the,  , with, a, confirmed, case, …]","['like', 'perfect', 'attendance', 'award', 'high', 'school', 'person', ' ', 'confirmed', 'case', '…']",like perfect attend award high school person   confirm case …,positive,"{'neg': 0.0, 'neu': 0.607, 'pos': 0.393, 'compound': 0.8658}",0.39,0.6516666666666666
2,2,1643812202000,Gate 15,Gate_15_Analyst,"As anti-vaccine mandate protest enters 5th day in Ottawa, some worry about how it might end | CBC News https://t.co/rbRYVYF29P #COVID",0,0,"As anti-vaccine mandate protest enters 5th day in Ottawa, some worry about how it might end | CBC News",[],['#COVID'],[' https://t.co/rbRYVYF29P'],As antivaccine mandate protest enters 5th day in Ottawa some worry about how it might end  CBC News,"[As, antivaccine, mandate, protest, enters, 5th, day, in, Ottawa, some, worry, about, how, it, might, end,  , CBC, News]","['antivaccine', 'mandate', 'protest', 'enters', '5th', 'day', 'Ottawa', 'worry', 'end', ' ', 'CBC', 'News']",antivaccin mandat protest enter 5th day ottawa worri end   cbc new,negative,"{'neg': 0.234, 'neu': 0.766, 'pos': 0.0, 'compound': -0.5994}",0.0,0.0
3,3,1643812183000,Gate 15,Gate_15_Analyst,Ottawa's police chief says the response to the protest has been a success. Not everyone agrees | CBC News https://t.co/ScmVUAUfYJ #COVID,0,0,Ottawa's police chief says the response to the protest has been a success. Not everyone agrees | CBC News,[],['#COVID'],[' https://t.co/ScmVUAUfYJ'],Ottawas police chief says the response to the protest has been a success Not everyone agrees  CBC News,"[Ottawas, police, chief, says, the, response, to, the, protest, has, been, a, success, Not, everyone, agrees,  , CBC, News]","['Ottawas', 'police', 'chief', 'says', 'response', 'protest', 'success', 'agrees', ' ', 'CBC', 'News']",ottawa polic chief say respons protest success agre   cbc new,positive,"{'neg': 0.169, 'neu': 0.658, 'pos': 0.174, 'compound': 0.2751}",0.3,0.0
4,4,1643812175000,Gate 15,Gate_15_Analyst,COVID study in which young adults were infected with virus reveals its results https://t.co/B7krPeoSaX #COVID,0,0,COVID study in which young adults were infected with virus reveals its results,[],['#COVID'],[' https://t.co/B7krPeoSaX'],COVID study in which young adults were infected with virus reveals its results,"[COVID, study, in, which, young, adults, were, infected, with, virus, reveals, its, results]","['COVID', 'study', 'young', 'adults', 'infected', 'virus', 'reveals', 'results']",covid studi young adult infect viru reveal result,negative,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.4939}",0.1,0.4
5,5,1643812098000,save DEMOCRACY,VippusaO,"REAL PEOPLE ARE REALLY DYING FROM #COVID BECAUSE THEY’RE BELIEVING FAKE INFORMATION 
https://t.co/oDarjTvkvO 04",0,0,"REAL PEOPLE ARE REALLY DYING FROM  BECAUSE THEY’RE BELIEVING FAKE INFORMATION 
https://t.co/oDarjTvkvO 04",[],['#COVID'],[],"REAL PEOPLE ARE REALLY DYING FROM  BECAUSE THEY’RE BELIEVING FAKE INFORMATION 
httpstcooDarjTvkvO 4","[REAL, PEOPLE, ARE, REALLY, DYING, FROM,  , BECAUSE, THEY’RE, BELIEVING, FAKE, INFORMATION, 
, httpstcooDarjTvkvO, 4]","['REAL', 'PEOPLE', 'DYING', ' ', 'THEY’RE', 'BELIEVING', 'FAKE', 'INFORMATION', '\n', 'httpstcooDarjTvkvO', '4']","real peopl dy   they’r believ fake inform 
 httpstcoodarjtvkvo 4",negative,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.5904}",-0.033333333333333326,0.5
6,6,1643812022000,Social Start Now LLC,socialstartnow1,$NMXS news update https://t.co/CSoZLoK5qy #healthcare #covid #bitcoin #crypto #blockchain #wsj #nytimes #business… https://t.co/o32rnU8JMm,0,0,$NMXS news update        …,[],"['#healthcare', '#covid', '#bitcoin', '#crypto', '#blockchain', '#wsj', '#nytimes', '#business']","[' https://t.co/CSoZLoK5qy', ' https://t.co/o32rnU8JMm']",NMXS news update        …,"[NMXS, news, update,        , …]","['NMXS', 'news', 'update', '       ', '…']",nmx news updat         …,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
7,7,1643812002000,Steve Stottlemyre,StottlemyreS,Taking #unvaccinated man off heart transplant list is #tragic—but ethical via ⁦@NBCNews⁩ #covid #pandemic  https://t.co/uBMB0pNFz0,0,0,Taking  man off heart transplant list is —but ethical via ⁦⁩,['@NBCNews'],"['#unvaccinated', '#tragic', '#covid', '#pandemic']",[' https://t.co/uBMB0pNFz0'],Taking  man off heart transplant list is —but ethical via ⁦⁩,"[Taking,  , man, off, heart, transplant, list, is, —, but, ethical, via, ⁦⁩]","['Taking', ' ', 'man', 'heart', 'transplant', 'list', '—', 'ethical', '\u2066\u2069']",take   man heart transplant list — ethic ⁦⁩,positive,"{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.5106}",0.2,0.6
8,8,1643811994000,🕊🌈Swoosh🌊 🦅,Katrina5Mm,Another 5 days of quarantine #COVID 🤒,0,0,Another 5 days of quarantine  🤒,[],['#COVID'],[],Another 5 days of quarantine  🤒,"[Another, 5, days, of, quarantine,  , 🤒]","['5', 'days', 'quarantine', ' ', '🤒']",5 day quarantin   🤒,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0
9,9,1643811891000,Eric Ferreri,EricFerreri,Pretty cool to see former FDA Commissioner Mark McClellan of @DukeMargolis emphasize the expertise of both doctors… https://t.co/OcsL31E0qx,0,0,Pretty cool to see former FDA Commissioner Mark McClellan of  emphasize the expertise of both doctors…,['@DukeMargolis'],[],[' https://t.co/OcsL31E0qx'],Pretty cool to see former FDA Commissioner Mark McClellan of  emphasize the expertise of both doctors…,"[Pretty, cool, to, see, former, FDA, Commissioner, Mark, McClellan, of,  , emphasize, the, expertise, of, both, doctors, …]","['Pretty', 'cool', 'FDA', 'Commissioner', 'Mark', 'McClellan', ' ', 'emphasize', 'expertise', 'doctors', '…']",pretti cool fda commission mark mcclellan   emphas expertis doctor …,positive,"{'neg': 0.0, 'neu': 0.718, 'pos': 0.282, 'compound': 0.6705}",0.19999999999999998,0.5499999999999999
